@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7}

@data
1,'2019/09/24 10:48:40:632',1,-9018537,-6386048,-9280935,-5986654,-8421763,-9545392,-9022140,-10403534,-8826313,-8499133,-10005427,-9675435,-9345955,-5724508,-8224897,-8295842,-8626871,-10992840,-4417648,-4020062,-7500655,-10069930,-9410201,-5921369,-8224898,-11122879,-12372685,-7046799,-2771795,-4612454,-8750464,-10397349,-9344663,-6122357,-8030607,-10730696,-9481669,-4153710,-2771535,-3888987,-11582393,-10661552,-6128016,-7905458,-7840175,-7380399,-7970740,-6918307,-4416366,-4217953,-11647158,-11055021,-6850194,-8759731,-8366772,-8039095,-9089217,-8891320,-6718606,-4677989,-11119009,-9802121,-7760994,-6643283,-6843753,-9345178,-9545139,-6653333,-4480869,-4809319,-6181451,-2232591,-5058076,-8220509,-10263703,-11451583,-8757686,-7113371,-3297107,-4809059,-5057566,-6966579,-8811875,-11117980,-13948883,-10926534,-8429239,-8429237,-5664374,-5268581,-8349008,-9535343,-11314330,-12369595,-11515834,-9086399,-8692413,-8823998,-8823483,-8691632,?
2,'2019/09/24 10:48:40:668',1,-9018536,-6320512,-9280679,-5986654,-8421763,-9545392,-9022140,-10403533,-8760777,-8499132,-10070962,-9609899,-9280419,-5724508,-8224897,-8295587,-8692407,-10927302,-4351855,-4085855,-7500912,-10069930,-9344920,-5921369,-8225154,-11122879,-12372685,-6915470,-2772050,-4678246,-8684928,-10331813,-9344662,-6122613,-8030863,-10730952,-9481413,-4153453,-2771279,-3889242,-11647929,-10661807,-6062480,-7905714,-7774639,-7380399,-7970740,-6852770,-4416108,-4349281,-11647413,-11055021,-6850194,-8825523,-8366772,-8038839,-9089217,-8891064,-6652813,-4743526,-11119265,-9801864,-7760994,-6643283,-6843753,-9345434,-9545139,-6587539,-4480869,-4809575,-6181708,-2167312,-5058076,-8220509,-10263703,-11451582,-8757686,-7113114,-3362643,-4874596,-5057566,-6966579,-8811874,-11183515,-13948883,-10926533,-8429239,-8429237,-5664117,-5334116,-8348752,-9535342,-11314330,-12304314,-11515835,-9020862,-8757949,-8823999,-8757947,-8691377,?
3,'2019/09/24 10:48:40:699',1,-9018536,-6320511,-9280678,-5921117,-8421764,-9545649,-9087933,-10337741,-8760777,-8499131,-10070963,-9609899,-9280420,-5724507,-8224897,-8295842,-8757944,-10795973,-4286062,-4085855,-7500656,-10135466,-9410200,-5855833,-8225154,-11188672,-12372685,-6783884,-2837586,-4678246,-8750464,-10331812,-9344407,-6122357,-8030863,-10796746,-9415877,-4021866,-2771279,-3954778,-11647929,-10596015,-5931152,-8037299,-7709102,-7380399,-7905205,-6852514,-4350315,-4415074,-11581878,-11055021,-6718866,-8891315,-8367028,-7973302,-9089473,-8825528,-6586763,-4809319,-11119009,-9736328,-7760993,-6577746,-6843754,-9410970,-9479348,-6522002,-4415076,-4809574,-6181195,-2167055,-5123612,-8220766,-10329495,-11386046,-8757686,-6981783,-3297107,-4874852,-5057822,-6966836,-8877411,-11183772,-13948882,-10860741,-8429240,-8494774,-5598323,-5399909,-8414544,-9469807,-11314843,-12369594,-11450299,-9020862,-8757949,-8823998,-8757947,-8691376,?
4,'2019/09/24 10:48:40:732',1,-8953256,-6386047,-9280679,-5920861,-8421763,-9545648,-9087932,-10403278,-8826313,-8499132,-10070962,-9675435,-9345699,-5658715,-8225154,-8230307,-8692408,-10795974,-4286062,-4085854,-7435120,-10069930,-9344664,-5855577,-8225154,-11188672,-12372685,-6783885,-2772050,-4678247,-8684928,-10331812,-9278870,-6122357,-8030864,-10796745,-9415876,-4022123,-2771279,-3888986,-11582394,-10596016,-5931151,-8037300,-7708846,-7380399,-7970740,-6852514,-4350316,-4349537,-11581622,-10989484,-6718865,-8891315,-8367028,-7973302,-9089473,-8825527,-6586764,-4743783,-11053474,-9736072,-7760993,-6577490,-6844009,-9411226,-9479602,-6587538,-4415076,-4809575,-6115658,-2232591,-5123868,-8220766,-10329496,-11385791,-8757686,-7047320,-3297106,-4874596,-5123358,-6966836,-8877412,-11183774,-13948883,-10860740,-8429239,-8429238,-5598324,-5399653,-8349008,-9470063,-11380380,-12304058,-11450299,-9020862,-8757949,-8823998,-8823483,-8625840,?
5,'2019/09/24 10:48:40:766',1,-9018536,-6386047,-9280935,-5986654,-8421763,-9545392,-9022140,-10403277,-8826313,-8564668,-10005427,-9609899,-9345955,-5724508,-8224897,-8295842,-8692152,-10927303,-4417392,-4085598,-7435120,-10069930,-9410456,-5921369,-8159361,-11122879,-12372428,-6915726,-2837586,-4677990,-8684928,-10331813,-9344406,-6122357,-8030863,-10730952,-9481668,-4153453,-2771278,-3888986,-11582394,-10596016,-5996943,-7971507,-7709103,-7380399,-7970740,-6852514,-4416109,-4283745,-11581877,-11055021,-6784401,-8891059,-8366772,-8038838,-9089473,-8825527,-6652557,-4677990,-11053474,-9801864,-7760993,-6577490,-6843753,-9345434,-9545139,-6587540,-4415076,-4809318,-6181451,-2167055,-5123612,-8220509,-10263703,-11386046,-8823222,-7113115,-3297107,-4809059,-5123358,-7032371,-8811875,-11183516,-13948883,-10926533,-8429239,-8429237,-5664117,-5334116,-8349008,-9535342,-11314587,-12304059,-11450299,-9086399,-8757949,-8823998,-8757948,-8691377,?
6,'2019/09/24 10:48:40:799',1,-9018537,-6386048,-9280679,-5986654,-8421763,-9545393,-9022140,-10403278,-8826313,-8564925,-10005427,-9609899,-9345955,-5724508,-8224897,-8295842,-8692408,-10992839,-4417648,-4020063,-7435376,-10135467,-9410200,-5921370,-8159618,-11122878,-12372429,-7046799,-2837586,-4678246,-8684928,-10331812,-9344407,-6122613,-8030607,-10730696,-9481669,-4153454,-2705742,-3888986,-11582394,-10661552,-6128017,-7905458,-7840175,-7314862,-7970740,-6852771,-4416109,-4349281,-11647414,-11055021,-6850194,-8759986,-8366771,-8039095,-9089217,-8891064,-6652556,-4678246,-11119010,-9802120,-7760993,-6577490,-6843496,-9345177,-9545139,-6587795,-4415077,-4809318,-6181708,-2167055,-5057819,-8154973,-10263703,-11451326,-8823222,-7113370,-3297107,-4809059,-5057566,-6966579,-8811875,-11117980,-13948882,-10926533,-8429239,-8429493,-5729909,-5334116,-8283471,-9535343,-11314330,-12369594,-11515835,-9086398,-8757948,-8823998,-8823483,-8691633,?
7,'2019/09/24 10:48:40:832',1,-9018536,-6386047,-9280935,-5986653,-8421763,-9545392,-9087676,-10403278,-8826058,-8565181,-10005427,-9609900,-9280418,-5724508,-8224897,-8230306,-8692408,-10927303,-4351856,-4085855,-7435376,-10135466,-9410200,-5921369,-8159618,-11188672,-12372428,-6915471,-2772050,-4678246,-8684928,-10331813,-9344662,-6056820,-8030863,-10796489,-9415876,-4087917,-2771279,-3954523,-11582393,-10661551,-6128017,-7839921,-7840431,-7380399,-7905204,-6852771,-4416108,-4349538,-11647414,-11055021,-6850194,-8825266,-8366771,-8039095,-9023681,-8825527,-6587020,-4809319,-11119010,-9801864,-7760994,-6577490,-6843753,-9410970,-9479602,-6587538,-4415076,-4809319,-6181451,-2167055,-5123612,-8220510,-10263959,-11386047,-8757687,-7113114,-3297106,-4874852,-5057822,-6966579,-8811876,-11183773,-13948883,-10860997,-8429239,-8494773,-5664117,-5399909,-8349008,-9469807,-11380122,-12369594,-11515834,-9086397,-8692413,-8823998,-8823484,-8756913,?
8,'2019/09/24 10:48:40:866',1,-9018792,-6386048,-9280679,-5986397,-8422019,-9545393,-9087932,-10403278,-8826313,-8630717,-10005427,-9609899,-9345954,-5724251,-8290433,-8230307,-8757944,-10927303,-4417393,-4085855,-7500656,-10135465,-9344664,-5855833,-8225154,-11188671,-12372428,-6915471,-2772050,-4678246,-8684928,-10331813,-9344407,-6056564,-8030607,-10796489,-9415877,-4087917,-2705998,-3954522,-11647929,-10661551,-6128017,-7839920,-7840432,-7380399,-7970740,-6918308,-4416108,-4349538,-11647157,-10989485,-6850194,-8825266,-8366771,-8104887,-9023680,-8891319,-6652556,-4743783,-11119010,-9736327,-7760994,-6577490,-6909546,-9345434,-9479603,-6587539,-4415076,-4809574,-6115659,-2167055,-5189148,-8220766,-10329496,-11386046,-8757686,-7047834,-3297107,-4874852,-5123358,-6966836,-8812131,-11183773,-13949139,-10860741,-8429238,-8494774,-5729653,-5399909,-8349008,-9535343,-11380379,-12304059,-11450299,-9020862,-8692413,-8823999,-8757947,-8691633,?
9,'2019/09/24 10:48:40:899',1,-9018536,-6386046,-9280679,-5986653,-8421763,-9545393,-9087676,-10403534,-8826314,-8630462,-10005426,-9675436,-9345955,-5724251,-8290434,-8295843,-8692408,-10927559,-4417648,-4020062,-7435119,-10069930,-9344664,-5921368,-8225154,-11188415,-12372429,-7046800,-2837330,-4678246,-8684928,-10331812,-9344407,-6056563,-8030606,-10796489,-9415877,-4153709,-2705742,-3888986,-11582393,-10661551,-6193809,-7708335,-7906223,-7380399,-7905205,-6984100,-4481902,-4283745,-11581877,-11055021,-6850194,-8694193,-8366771,-8170425,-9023680,-8956856,-6652813,-4743526,-11053729,-9801863,-7760993,-6577746,-6909546,-9345434,-9479603,-6587795,-4415077,-4809319,-6115659,-2167055,-5123612,-8220510,-10263959,-11386046,-8757686,-7178908,-3362643,-4874852,-5057822,-6966579,-8811875,-11118236,-13948883,-10860997,-8429240,-8494774,-5730166,-5399909,-8349008,-9469807,-11314587,-12304058,-11450299,-9086398,-8757949,-8823998,-8757948,-8757169,?
10,'2019/09/24 10:48:40:932',1,-9018536,-6320511,-9280679,-5986654,-8421763,-9545392,-9087676,-10403278,-8826313,-8564925,-10005427,-9609898,-9345955,-5724508,-8224897,-8295842,-8626616,-10992840,-4483184,-4085599,-7500655,-10135465,-9410201,-5921369,-8159618,-11122879,-12372685,-7047056,-2837330,-4678246,-8619648,-10397348,-9410198,-6056562,-8030349,-10796487,-9481669,-4153711,-2705742,-3888986,-11647930,-10661552,-6325137,-7577007,-7971760,-7380143,-7905204,-6984100,-4547439,-4217952,-11647414,-11055021,-6850195,-8562865,-8432307,-8170424,-8958145,-8957112,-6718606,-4677990,-11053474,-9801864,-7760993,-6643540,-6909803,-9279898,-9545139,-6653333,-4480869,-4809574,-6181451,-2232591,-5058076,-8220509,-10263703,-11451582,-8823222,-7179164,-3362643,-4874596,-5123102,-6966579,-8811875,-11183515,-13948883,-10926534,-8429239,-8429238,-5795447,-5399653,-8348752,-9469807,-11314331,-12369594,-11515834,-9086399,-8692412,-8823998,-8823483,-8757170,?
